# AF3,F7,F3,FC5,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,MARKER
-7.214521835660328070e-06,9.759081971465665903e-07,1.140731958495456921e-06,-1.618694625772490176e-06,-6.265435184252682547e-06,-5.664049146257718752e-06,-7.718744609750515906e-06,-1.406095497520408790e-05,-1.469148487983520049e-05,-1.420785710231174156e-05,-1.109039142595559490e-05,-1.884937890135042168e-05,-1.907784353398944116e-06,0.000000000000000000e+00
-1.242880865186533527e-06,6.765851001754791394e-06,3.743173981841760129e-06,6.329122229343096787e-06,-2.758087351796742347e-06,-3.450689008926522111e-06,-1.235273588464179480e-05,-1.540606328984512024e-05,-1.968792270084687346e-05,-1.310232611123826980e-05,-3.482629604028380412e-06,-1.012399628747997265e-05,-3.541533205157546813e-06,0.000000000000000000e+00
6.688894598306258016e-06,8.704442681010151868e-06,8.612729364461733686e-06,1.153058103456168089e-05,1.006576697642481910e-05,5.608712968642716538e-06,-7.919290647745479825e-06,-5.072040277714197203e-06,-3.475894442664222907e-06,-2.497367475394827760e-06,3.275139212634471443e-06,-7.532635440604255848e-06,2.243769971770812298e-06,0.000000000000000000e+00
-2.760072053101387939e-06,1.612320486762802499e-06,2.530158988326844419e-06,4.075309237811854101e-06,2.193340947585335890e-07,2.071107873655304534e-06,-7.946846591897459367e-06,-4.903507971313037911e-06,-8.613579363698784175e-06,-2.506862833600367049e-06,-4.601895202563514185e-06,-1.635525485923552066e-05,-2.536854004730293835e-06,0.000000000000000000e+00
-5.110173243305096434e-06,1.552436673533230214e-06,-7.968845395590173669e-07,5.717849851224343704e-08,-1.517584688944837835e-05,-4.658899359121075193e-06,-1.171588739757381469e-05,-7.349589016556038035e-06,-2.302078356603341438e-05,-5.678312474250400360e-06,-3.414500393682763750e-06,-1.779435956969558136e-05,-8.019837300679024021e-06,0.000000000000000000e+00
7.058259281300077337e-06,6.219851528191046459e-06,4.881833488975352437e-06,2.869107562371249344e-06,-1.009693042801555713e-05,-2.658752813000680692e-06,-7.651385635156786441e-06,4.033429472800793813e-06,-4.710023144884410713e-06,3.503698910505834607e-06,1.020485317921721228e-05,-2.030652904554816468e-06,4.170677495994509788e-06,0.000000000000000000e+00
8.700534126802481007e-06,2.093739377431910117e-06,6.240643553826195864e-06,3.962466097505147489e-06,-1.971392510872045855e-06,4.625781277180189624e-07,6.558296232547493562e-06,1.911785842984664948e-05,1.228956470130464874e-05,1.623968722362096118e-05,1.397304736095216387e-05,7.796746829938203097e-06,1.244019504844739746e-05,0.000000000000000000e+00
-4.127162851911184766e-06,-4.553363891050579603e-06,5.385983138780767448e-07,6.412179949645207015e-07,-7.097656346990150674e-06,-2.248280389105052461e-06,9.027615005722131885e-06,1.653474644388494813e-05,2.321986175326182750e-07,1.262602518654153992e-05,4.530663231860838539e-06,-6.140528519111922403e-06,6.481928221561025629e-07,0.000000000000000000e+00
-1.234883808651864899e-05,-7.109580781261917974e-06,-2.612033177691313253e-06,-2.405546793316550510e-06,-1.133160427557792847e-05,-7.276930189974817903e-06,-2.339211956969558111e-06,3.049011795223926775e-06,-6.768806633096815994e-06,-2.893459560540170449e-06,-4.027663286793315399e-06,-2.043758004577706308e-05,-9.649005548180357534e-06,0.000000000000000000e+00
-4.059470519569687411e-06,-4.063725653467608285e-06,4.918282256809334049e-06,4.563279574273287365e-06,-4.641056021972984147e-06,-4.381866733806357422e-06,5.878416662851908681e-07,2.894655103379873821e-06,1.115349677271689455e-06,-2.826992053101397540e-06,2.962069269855803334e-06,-8.223016754406039941e-06,-1.877246991683830128e-06,0.000000000000000000e+00
6.089964614328231085e-06,3.685944293888765617e-06,1.004589491569389882e-05,1.120882559395742435e-05,1.896523790341046886e-06,1.364747200732438861e-06,1.080344251773861331e-05,1.004231497672999214e-05,3.342488294804304655e-06,7.172976617074842947e-06,1.178642413366903290e-05,6.195580778210119193e-06,6.221261335164418494e-06,0.000000000000000000e+00
-1.952178782330044724e-06,1.561830212863359433e-06,1.639351102464328426e-06,1.338100631723504425e-06,-2.719845241474013919e-06,-1.357714776836798844e-06,4.990669187457084028e-06,2.615868017090104550e-06,-3.580046344701302204e-06,2.236746829938199156e-06,-6.293133897917131461e-07,-8.263532089723048070e-06,-3.398007605096510371e-06,0.000000000000000000e+00
-1.236061066605629827e-05,-7.054393737697409875e-06,-4.497163450064853169e-06,-7.488062829022660762e-06,-9.477772451361861193e-06,-4.399271924925606870e-06,-4.286498677042801978e-06,-1.120693124437323454e-05,-1.326474649576561870e-05,-1.299380773174639293e-05,-1.443034485694666670e-05,-2.405316856946669585e-05,-1.119266918287937417e-05,0.000000000000000000e+00
-9.077532547493699424e-06,-4.077815962462802112e-06,-2.117787885862519109e-06,-8.516662531471749547e-07,-6.951972117189281440e-06,-3.932232629892417722e-06,-6.982388546578164371e-06,-1.300250908827344125e-05,-1.437902917372396218e-05,-1.681636764934767516e-05,-8.327914158846416552e-06,-1.345111562371251763e-05,-4.427116694895854370e-06,0.000000000000000000e+00
