AF3,F7,F3,FC5,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,MARKER
-1.4930481803616308e-06,1.4819851285572634e-06,-1.1001382879377463e-06,-8.13462352483406e-06,-2.439037442435339e-05,-2.2815414561684586e-05,-3.363051742732891e-05,-2.776089891050584e-05,-2.2662672231631946e-05,-6.969681190203708e-06,-4.600273078507666e-06,-9.70771732661935e-07,1.504765818265052e-06,0.0
7.495316296635395e-06,9.345551740291453e-06,4.026016420233459e-06,-8.218493426413369e-06,-2.3789426976424807e-05,-2.1840723859006638e-05,-3.088410832684825e-05,-2.006511527428092e-05,2.2239254016937527e-06,-5.697303190661479e-06,3.638495001144428e-06,8.459359029526228e-07,9.320803549248496e-06,0.0
1.1297859487296874e-05,4.55249829709316e-06,1.4107745603112836e-05,-2.1646114396887175e-06,-6.5750141725795305e-06,-9.554109361409928e-06,-8.263739949645227e-06,2.308729701686122e-06,1.4057293559166856e-05,6.702278146028837e-06,1.1791290505836576e-05,1.492258400549325e-05,1.4382371253528652e-05,0.0
5.9310347905699336e-06,-4.1903239337758083e-07,1.0942534604409852e-05,1.2832039688715927e-06,4.72279784847792e-06,3.0864106889448445e-06,9.877256617074845e-06,8.254612474250398e-06,-3.550084838635841e-06,1.0041931274891276e-05,7.6208095582513165e-06,1.965477517051957e-05,9.207815310902572e-06,0.0
6.829018081941761e-08,1.9962814068818222e-06,1.1640591699092052e-06,1.7711743053330256e-06,8.193724623483642e-06,1.347585935454338e-05,1.7148964101625085e-05,6.271601504539559e-06,-2.502858864728768e-06,-2.6330154497596717e-06,-4.10552524147402e-06,2.6464374044403766e-06,-3.885506080720196e-07,0.0
-1.1577734126802464e-05,-7.630922214084073e-06,-8.806865758754866e-06,-4.596838585488672e-06,2.9891555138475695e-06,1.417206699931335e-05,1.4223441364156556e-05,2.7654995040817886e-06,3.9930809979400324e-06,-1.3214913929961088e-05,-1.605084678873884e-05,-1.124384015564202e-05,-1.1406430714885172e-05,0.0
-1.9325563035019448e-05,-1.5923069057755394e-05,-1.4351452321660182e-05,-1.0188673659876404e-05,-5.247466628519104e-06,6.741500823987188e-06,5.1514121950103e-06,-5.720968410772869e-06,-1.1882237001602196e-05,-1.5527711892881666e-05,-2.106645436942092e-05,-1.3245297720302124e-05,-1.826206841992828e-05,0.0
-1.0652115060654603e-05,-8.18748941939421e-06,-6.999006874189367e-06,-1.7574611902037097e-06,3.82501878233006e-06,1.1958706861982151e-05,1.0350300325017163e-05,1.959064542610819e-06,-2.181090941634241e-05,-8.817206601052872e-06,-1.0976842742046232e-05,-3.6658518379491856e-06,-1.0439923216601813e-05,0.0
-6.446361020828558e-06,-9.752687910276947e-06,-5.826814500648512e-06,-1.242854703593519e-07,4.8575557610437245e-06,1.6362220215152215e-05,1.4693423300526436e-05,9.363460546272984e-06,-1.4580199285877772e-05,-3.312611801327536e-06,-6.804739670405125e-06,2.0743608697642497e-06,-7.514443964293887e-06,0.0
-1.1739607095445176e-05,-1.6938745497825584e-05,-1.3852833177691313e-05,-9.667155362783247e-06,-1.7353826124971384e-05,2.103017390707261e-06,-3.248558113984894e-06,-3.873413313496604e-06,-7.131198182650489e-06,-1.0562996031128403e-05,-1.562422816205081e-05,-6.3123135408560285e-06,-1.6069485848783088e-05,0.0
